Place,HelmName,Fleet,Status
1,Antony Baker,,Pro Fleet
2,Patrick Van Hoof,,Gold Fleet
3,Markus Wilms,,Gold Fleet
4,Michael George,,Gold Fleet
5,Nigel Spriggs,,Gold Fleet
6,Ian Richards,,Gold Fleet
7,Adrian Wallis,,Gold Fleet
8,Steve Flanagan,,Gold Fleet
9,Paul Simmons,,Pro Fleet
10,Steve Jones,,Gold Fleet
11,Torsten Mallon,,Gold Fleet
12,Allan Cross,,Gold Fleet
13,Dave Strudwick,,Gold Fleet
14,Andrew Chandler,,Gold Fleet
15,Gavin Nicholson,,Amateur
16,Stephen Chatten,,Amateur
17,Christian Body,,Youth Fleet
18,Ryan Dunkling,,Youth Fleet
19,Fred Willis,,Pro Fleet
20,Nic Dodd,,Gold Fleet
21,Mark Collins,,Gold Fleet
22,Henry Bloodworth,,Youth Fleet
23,Martin Allman,,Amateur
