Place,HelmName,Fleet,Status
1,Daniel Borgelind,,Gold Fleet
2,Patrick Van Hoof,,Gold Fleet
3,Antony Baker,,Pro Fleet
4,Torsten Mallon,,Gold Fleet
5,Ian Richards,,Gold Fleet
6,Martyn Ogier,,Pro Fleet
7,Björn Haacke,,Gold Fleet
8,Steve Flanagan,,Gold Fleet
9,Markus Wilms,,Gold Fleet
10,Allan Cross,,Gold Fleet
11,Steve Jones,,Gold Fleet
12,Manfred Fuchs,,Gold Fleet
13,Michael George,,Gold Fleet
14,Tris Best,,Pro Fleet
15,Adrian Wallis,,Gold Fleet
16,Nigel Spriggs,,Gold Fleet
16,Andrew Chandler,,Gold Fleet
18,Dave Strudwick,,Gold Fleet
19,Anders Bjorkqvist,,Gold Fleet
20,Mark Collins,,Gold Fleet
21,Stephen Chatten,,Amateur
22,Nic Dodd,,Gold Fleet
23,Gavin Nicholson,,Amateur
24,Eddie Murrell,,Gold Fleet
25,Gordon Roach,,Amateur
26,Alastair Nichol,,Gold Fleet
27,Neil Greentree,,Amateur
27,Martin Allman,,Amateur
29,Trevor Funnell,,Amateur
30,Tim Tarrington,,Amateur
