Place,HelmName,Fleet,Status
1,Anders Bjorkqvist,,Gold Fleet
2,Daniel Borgelind,,Gold Fleet
3,Martyn Ogier,,Pro Fleet
4,David Garrel,,Pro Fleet
5,Torsten Mallon,,Pro Fleet
