Place,HelmName,Fleet,Status
1,Kevin Greenslade,,Gold Fleet
2,Patrick Van Hoof,,Gold Fleet
3,Antony Baker,,Pro Fleet
4,Dave White,,Pro Fleet
5,Pete Young,,Gold Fleet
6,Jim Crossley,,Gold Fleet
7,Ian Richards,,Gold Fleet
8,Martyn Ogier,,Pro Fleet
9,Daniel Borgelind,,Gold Fleet
10,Steve Flanagan,,Gold Fleet
11,Anders Bjorkqvist,,Gold Fleet
12,Nigel Spriggs,,Gold Fleet
13,Manfred Fuchs,,Gold Fleet
14,Björn Haacke,,Gold Fleet
15,Torsten Mallon,,Gold Fleet
16,Tris Best,,Pro Fleet
17,Steve Jones,,Gold Fleet
18,Paul Simmons,,Pro Fleet
19,Adrian Wallis,,Gold Fleet
20,Michael George,,Gold Fleet
20,Simon Pettifer,,Gold Fleet
22,Thorsten Niehaus,,Pro Fleet
23,Jim Brooks-Dowsett,,Gold Fleet
24,Andrew Chandler,,Gold Fleet
25,Steve Giles,,Amateur
26,Pete Cunningham,,Gold Fleet
27,Matthew York,,Amateur
28,Allan Cross,,Gold Fleet
29,Richard Hobson,,Amateur
30,Markus Wilms,,Gold Fleet
31,Dave Strudwick,,Gold Fleet
32,Nic Dodd,,Gold Fleet
33,Mark Collins,,Gold Fleet
34,Gavin Nicholson,,Amateur
35,Richard Lloyd,,Gold Fleet
36,Alastair Nichol,,Gold Fleet
37,Stephen Chatten,,Amateur
38,Eddie Murrell,,Gold Fleet
39,Neil Greentree,,Amateur
40,Trevor Funnell,,Amateur
41,Tim Tarrington,,Amateur
42,Martin Allman,,Amateur
