Place,HelmName,Fleet,Status
1,Daniel Borgelind,,Gold Fleet
2,David Garrel,,Pro Fleet
3,Torsten Mallon,,Pro Fleet
4,Anders Bjorkqvist,,Gold Fleet
5,Martyn Ogier,,Pro Fleet
